email,name
user0@gmail.com,Bob Lee
user1@yahoo.com,Carla Diaz
,Evan Cho
user3@yahoo.com,Alice Smith
user4@gmail.com,Carla Diaz
user5@hotmail.com,Dev Patel
user6@gmail.com,Dev Patel
user7@hotmail.com,Bob Lee
user8@hotmail.com,Dev Patel
not-an-email,Alice Smith
user10@yahoo.com,Carla Diaz
user11@yahoo.com,Dev Patel
user12@hotmail.com,Dev Patel
user13@gmail.com,Dev Patel
,Carla Diaz
user15@yahoo.com,Bob Lee
user16@yahoo.com,Dev Patel
user17@yahoo.com,Dev Patel
user18@hotmail.com,Evan Cho
user19@yahoo.com,Dev Patel
user20@hotmail.com,Alice Smith
user21@yahoo.com,Bob Lee
user22@hotmail.com,Evan Cho
user23@gmail.com,Alice Smith
not-an-email,Evan Cho
user25@hotmail.com,Alice Smith
,Dev Patel
user27@gmail.com,Alice Smith
user@@x.com,Alice Smith
,Alice Smith
user30@yahoo.com,Evan Cho
user31@yahoo.com,Evan Cho
not-an-email,Evan Cho
,Carla Diaz
user34@gmail.com,Alice Smith
user35@yahoo.com,Bob Lee
not-an-email,Evan Cho
user37@gmail.com,Carla Diaz
user38@hotmail.com,Dev Patel
user39@hotmail.com,Dev Patel
,Evan Cho
bad@,Evan Cho
user42@yahoo.com,Carla Diaz
user43@yahoo.com,Evan Cho
user44@hotmail.com,Alice Smith
,Carla Diaz
user46@gmail.com,Evan Cho
user47@yahoo.com,Alice Smith
user48@yahoo.com,Dev Patel
user49@hotmail.com,Evan Cho
