email,name
user0@hotmail.com,Bob Lee
user1@gmail.com,Dev Patel
,Alice Smith
user3@gmail.com,Evan Cho
user4@yahoo.com,Bob Lee
user5@gmail.com,Carla Diaz
not-an-email,Carla Diaz
user7@gmail.com,Carla Diaz
user8@hotmail.com,Bob Lee
,Carla Diaz
user10@yahoo.com,Evan Cho
bad@,Evan Cho
@nodomain.com,Dev Patel
user13@hotmail.com,Alice Smith
user14@hotmail.com,Carla Diaz
user15@hotmail.com,Bob Lee
user16@gmail.com,Carla Diaz
user17@gmail.com,Bob Lee
,Alice Smith
user19@hotmail.com,Carla Diaz
user20@gmail.com,Dev Patel
,Bob Lee
user22@yahoo.com,Bob Lee
user@@x.com,Carla Diaz
user24@hotmail.com,Evan Cho
user25@gmail.com,Bob Lee
user26@yahoo.com,Alice Smith
user27@gmail.com,Evan Cho
user28@gmail.com,Alice Smith
user29@gmail.com,Carla Diaz
user30@yahoo.com,Carla Diaz
,Carla Diaz
user32@gmail.com,Carla Diaz
user33@hotmail.com,Dev Patel
bad@,Alice Smith
@nodomain.com,Dev Patel
user36@gmail.com,Dev Patel
user37@yahoo.com,Carla Diaz
user38@yahoo.com,Alice Smith
user39@hotmail.com,Carla Diaz
user40@gmail.com,Alice Smith
user41@gmail.com,Dev Patel
,Alice Smith
user43@gmail.com,Bob Lee
,Evan Cho
user45@yahoo.com,Dev Patel
,Alice Smith
user@@x.com,Evan Cho
user48@gmail.com,Bob Lee
user49@gmail.com,Dev Patel
