email,name
user0@gmail.com,Bob Lee
,Carla Diaz
user2@yahoo.com,Dev Patel
,Bob Lee
user4@yahoo.com,Alice Smith
user5@gmail.com,Dev Patel
bad@,Dev Patel
user7@yahoo.com,Evan Cho
,Alice Smith
,Evan Cho
user10@yahoo.com,Dev Patel
user11@yahoo.com,Alice Smith
user12@yahoo.com,Dev Patel
user13@yahoo.com,Bob Lee
user14@yahoo.com,Carla Diaz
user15@gmail.com,Evan Cho
user16@hotmail.com,Bob Lee
,Carla Diaz
user18@hotmail.com,Carla Diaz
user19@yahoo.com,Evan Cho
user20@hotmail.com,Evan Cho
user21@hotmail.com,Bob Lee
user22@hotmail.com,Dev Patel
user23@gmail.com,Dev Patel
user@@x.com,Dev Patel
user25@yahoo.com,Dev Patel
user26@hotmail.com,Evan Cho
,Carla Diaz
,Evan Cho
user29@yahoo.com,Bob Lee
user30@gmail.com,Carla Diaz
,Dev Patel
user32@yahoo.com,Evan Cho
bad@,Bob Lee
user34@hotmail.com,Alice Smith
@nodomain.com,Evan Cho
user36@yahoo.com,Evan Cho
user37@hotmail.com,Evan Cho
user38@hotmail.com,Alice Smith
user39@hotmail.com,Evan Cho
not-an-email,Evan Cho
user41@hotmail.com,Dev Patel
user@@x.com,Evan Cho
user43@yahoo.com,Dev Patel
,Carla Diaz
user45@hotmail.com,Evan Cho
user46@gmail.com,Carla Diaz
user47@hotmail.com,Bob Lee
not-an-email,Evan Cho
user49@yahoo.com,Evan Cho
