email,name
@nodomain.com,Evan Cho
,Evan Cho
user2@gmail.com,Dev Patel
user3@gmail.com,Alice Smith
user4@gmail.com,Carla Diaz
user5@hotmail.com,Dev Patel
,Bob Lee
user7@gmail.com,Bob Lee
not-an-email,Dev Patel
user9@yahoo.com,Bob Lee
,Bob Lee
bad@,Alice Smith
user12@yahoo.com,Bob Lee
user13@hotmail.com,Carla Diaz
bad@,Bob Lee
@nodomain.com,Dev Patel
bad@,Dev Patel
,Carla Diaz
user18@hotmail.com,Carla Diaz
user19@hotmail.com,Alice Smith
,Carla Diaz
user21@yahoo.com,Carla Diaz
user@@x.com,Carla Diaz
,Bob Lee
user24@yahoo.com,Alice Smith
,Dev Patel
user26@hotmail.com,Dev Patel
user27@hotmail.com,Alice Smith
user28@gmail.com,Bob Lee
user29@yahoo.com,Alice Smith
user30@hotmail.com,Carla Diaz
user31@gmail.com,Carla Diaz
user32@yahoo.com,Evan Cho
,Carla Diaz
@nodomain.com,Alice Smith
user35@hotmail.com,Bob Lee
,Evan Cho
user37@gmail.com,Carla Diaz
user38@yahoo.com,Bob Lee
not-an-email,Dev Patel
user40@hotmail.com,Alice Smith
,Dev Patel
user42@yahoo.com,Evan Cho
user43@gmail.com,Dev Patel
user44@hotmail.com,Alice Smith
user45@yahoo.com,Alice Smith
,Bob Lee
user47@hotmail.com,Evan Cho
,Dev Patel
user49@gmail.com,Dev Patel
