email,name
,Alice Smith
user1@hotmail.com,Carla Diaz
bad@,Carla Diaz
,Evan Cho
user4@hotmail.com,Bob Lee
user5@hotmail.com,Dev Patel
user6@yahoo.com,Carla Diaz
not-an-email,Evan Cho
user8@yahoo.com,Alice Smith
user9@hotmail.com,Dev Patel
user10@gmail.com,Bob Lee
,Bob Lee
@nodomain.com,Carla Diaz
user13@gmail.com,Evan Cho
user14@hotmail.com,Dev Patel
user15@yahoo.com,Evan Cho
user16@yahoo.com,Evan Cho
user17@yahoo.com,Bob Lee
user18@gmail.com,Dev Patel
user@@x.com,Dev Patel
user20@yahoo.com,Evan Cho
user21@yahoo.com,Dev Patel
user22@hotmail.com,Carla Diaz
user23@gmail.com,Dev Patel
user24@gmail.com,Carla Diaz
user@@x.com,Evan Cho
user26@hotmail.com,Carla Diaz
user27@hotmail.com,Evan Cho
user28@yahoo.com,Evan Cho
user29@yahoo.com,Bob Lee
user30@yahoo.com,Evan Cho
user31@gmail.com,Alice Smith
,Alice Smith
bad@,Alice Smith
user34@gmail.com,Alice Smith
bad@,Carla Diaz
user36@hotmail.com,Alice Smith
,Alice Smith
not-an-email,Carla Diaz
,Alice Smith
,Alice Smith
user41@gmail.com,Alice Smith
user42@hotmail.com,Bob Lee
user43@gmail.com,Alice Smith
not-an-email,Bob Lee
user45@hotmail.com,Alice Smith
user@@x.com,Alice Smith
user47@hotmail.com,Alice Smith
user48@yahoo.com,Evan Cho
user49@hotmail.com,Dev Patel
