email,name
user0@yahoo.com,Carla Diaz
,Alice Smith
,Evan Cho
,Evan Cho
not-an-email,Evan Cho
user5@gmail.com,Dev Patel
user6@gmail.com,Alice Smith
,Evan Cho
user8@hotmail.com,Bob Lee
user9@yahoo.com,Alice Smith
user10@gmail.com,Alice Smith
user11@yahoo.com,Evan Cho
,Dev Patel
user13@hotmail.com,Alice Smith
,Bob Lee
user15@yahoo.com,Evan Cho
user16@gmail.com,Alice Smith
,Evan Cho
user18@hotmail.com,Bob Lee
user19@yahoo.com,Dev Patel
user20@yahoo.com,Evan Cho
bad@,Carla Diaz
,Bob Lee
user23@yahoo.com,Carla Diaz
not-an-email,Dev Patel
user25@gmail.com,Alice Smith
user@@x.com,Carla Diaz
,Dev Patel
user28@hotmail.com,Alice Smith
user29@yahoo.com,Carla Diaz
user30@yahoo.com,Evan Cho
user31@yahoo.com,Alice Smith
user32@gmail.com,Dev Patel
user33@yahoo.com,Alice Smith
user34@yahoo.com,Evan Cho
user35@hotmail.com,Carla Diaz
,Carla Diaz
user37@hotmail.com,Dev Patel
user38@gmail.com,Alice Smith
,Carla Diaz
user40@yahoo.com,Bob Lee
user@@x.com,Alice Smith
bad@,Evan Cho
user43@yahoo.com,Dev Patel
user44@hotmail.com,Dev Patel
user45@gmail.com,Dev Patel
bad@,Alice Smith
,Bob Lee
@nodomain.com,Evan Cho
,Alice Smith
