email,name
user0@yahoo.com,Dev Patel
user@@x.com,Alice Smith
user2@yahoo.com,Dev Patel
user3@gmail.com,Dev Patel
,Evan Cho
user5@hotmail.com,Bob Lee
user6@hotmail.com,Carla Diaz
user7@yahoo.com,Evan Cho
user8@hotmail.com,Alice Smith
user9@gmail.com,Carla Diaz
user10@hotmail.com,Carla Diaz
user11@yahoo.com,Bob Lee
user12@yahoo.com,Dev Patel
user13@hotmail.com,Alice Smith
,Alice Smith
user15@hotmail.com,Dev Patel
user16@yahoo.com,Alice Smith
user17@hotmail.com,Bob Lee
bad@,Alice Smith
user19@gmail.com,Bob Lee
user20@gmail.com,Evan Cho
user21@yahoo.com,Carla Diaz
user22@yahoo.com,Alice Smith
user23@hotmail.com,Alice Smith
user24@hotmail.com,Bob Lee
user25@yahoo.com,Evan Cho
user26@yahoo.com,Alice Smith
user27@yahoo.com,Carla Diaz
bad@,Bob Lee
user29@hotmail.com,Alice Smith
user30@gmail.com,Carla Diaz
user31@gmail.com,Bob Lee
user32@hotmail.com,Alice Smith
user33@hotmail.com,Dev Patel
user34@gmail.com,Carla Diaz
user35@hotmail.com,Bob Lee
user36@yahoo.com,Dev Patel
user37@hotmail.com,Dev Patel
,Carla Diaz
,Evan Cho
user40@gmail.com,Evan Cho
,Bob Lee
,Carla Diaz
user43@gmail.com,Bob Lee
user44@gmail.com,Carla Diaz
user45@hotmail.com,Alice Smith
,Bob Lee
user47@hotmail.com,Evan Cho
user48@gmail.com,Evan Cho
user49@hotmail.com,Alice Smith
